"","SEXO","EDAD","NACIO","RAMA","T_UNIV","DISCA","LUG_RES_PAIS","PAIS_NAC_PADRE","ESTUDIOS_PADRE","PAIS_NAC_MADRE","ESTUDIOS_MADRE","BECA","EXTRANJERO","MOTIVO","VOLVERIA","MISMA_CARRERA","OTRO_GRADO","MASTER","DOCTORADO","EST_ARTIST","CICLO_SUP","CICLO_MED","OTROS_EST","NUM_EST","IDIOMAS","TECH","MV_ESP","MV_FUE","SIT_LABORAL","SIT_PROFESIONAL","TR_SUELDO","FORMAC_TR","RAMA_TR","USO_ESTUD_TR","F_TEOR_TR","F_PRAC_TR","F_IDIOM_TR","F_TECH_TR","F_PERSON_TR","F_GEST_TR","OTRO_TRAB","EST_CIVIL","HOGAR","EMPLEADO_PRODUCTIVO"
"33","H","1_<30","E","CCSS","PuP","No","E","E","4_S","E","4_S","No","Si","L","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","Si","No","E","TP","4_1500-1999","3","No","No","4","4","5","2","3","2","No","1_S","5_Otr","No"
"34","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","3_PC","Si","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","Si","No","E","TT","2_700-999","4","No","Si","3","5","5","1","5","5","Si","1_S","4_PcH","No"
"35","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","3_PC","Si","No","L","Si","No","Si","No","No","No","No","No","Si","1","1","1_B","No","No","E","TT","3_1000-1499","7","No","No","1","1","1","1","3","2","No","1_S","4_PcH","No"
"36","M","1_<30","E","CCSS","PuP","No","E","E","5_B","E","4_S","Si","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","Si","No","E","TP","4_1500-1999","3","Si","Si","5","5","3","4","5","5","No","1_S","3_PsH","Si"
"37","M","1_<30","E","CCSS","PuP","No","E","E","7_PS","E","8_U","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","No","No","E","TP","3_1000-1499","3","Si","No","3","5","5","3","5","3","No","1_S","4_PcH","No"
"38","M","1_<30","E","CCSS","PuP","No","E","E","8_U","E","8_U","No","No","L","Si","Si","No","Si","No","No","No","No","Si","0","1","2_M","No","No","E","TT","2_700-999","3","Si","Si","4","4","1","1","4","3","Si","1_S","4_PcH","Si"
"39","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","4_S","Si","No","L","Si","Si","No","Si","No","No","No","No","Si","0","2","2_M","No","No","E","TT","1_<700","2","Si","Si","5","5","2","2","5","4","Si","1_S","4_PcH","Si"
"40","M","1_<30","E","CCSS","PuP","No","E","E","3_PC","E","4_S","Si","No","L","Si","No","No","Si","No","No","No","No","Si","0","1","2_M","No","No","E","TP","3_1000-1499","2","No","No","2","5","2","5","5","5","No","1_S","3_PsH","No"
"41","M","1_<30","E","CCSS","PuP","No","E","E","6_PM","E","3_PC","No","No","L","No","No","No","Si","No","No","No","No","Si","0","2","2_M","No","No","E","TT","3_1000-1499","4","No","Si","1","2","1","1","5","1","No","1_S","3_PsH","No"
"42","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","4_S","No","No","L","Si","No","Si","No","No","No","No","No","Si","1","2","2_M","Si","No","E","TP","4_1500-1999","3","Si","Si","5","5","2","4","5","5","No","1_S","3_PsH","Si"
